Age,Gender,self_employed,family_history,treatment,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview
23,Male,No,Yes,Yes,Yes,No,Don't know,No,No,Don't know,Yes,Somewhat easy,Maybe,No,Some of them,Some of them,No
28,Male,No,Yes,No,No,Yes,Yes,No,No,Don't know,Yes,Somewhat easy,No,No,Some of them,Yes,No
31,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Yes,Very easy,No,No,Some of them,Yes,No
27,Male,No,No,No,No,No,Don't know,Not sure,Don't know,Don't know,No,Very easy,Maybe,Maybe,Yes,Yes,No
24,Male,No,No,No,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe
29,Male,No,No,No,No,Yes,No,No,No,No,Don't know,Somewhat difficult,Yes,No,No,No,No
23,Female,No,No,Yes,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No
42,Male,No,No,No,Yes,Yes,No,Yes,No,Yes,Don't know,Somewhat easy,No,No,Some of them,Yes,No
24,Male,No,No,No,No,Yes,No,No,No,No,Don't know,Don't know,Yes,No,Some of them,Some of them,No
25,Male,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Very difficult,Yes,Maybe,No,No,No
27,Female,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Don't know,Maybe,Maybe,Yes,No,No
27,Male,No,No,No,Yes,Yes,No,Yes,No,No,No,Very difficult,Yes,Yes,Some of them,Some of them,No
30,Male,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Don't know,No,No,Yes,Yes,Maybe
29,Male,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Very difficult,Maybe,No,Some of them,Some of them,No
43,Male,Yes,No,No,Yes,Yes,No,Not sure,No,No,Don't know,Somewhat easy,Maybe,No,Yes,Yes,Yes
32,Male,No,No,No,No,Yes,No,Yes,No,Don't know,Don't know,Very easy,No,No,Some of them,Yes,No
41,Male,No,No,Yes,Yes,Yes,Yes,Yes,Don't know,No,Don't know,Very easy,No,No,Yes,Yes,Yes
32,Male,Yes,Yes,Yes,Yes,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,Maybe,Maybe,Yes,Some of them,Maybe
37,Female,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Don't know,Maybe,No,Some of them,Some of them,No
32,Male,No,No,No,Yes,Yes,No,No,No,No,Don't know,Very easy,No,No,Yes,Yes,No
30,Male,Yes,No,No,Yes,Yes,No,No,No,No,Don't know,Somewhat difficult,No,No,Some of them,Some of them,No
23,Female,No,Yes,Yes,No,No,Yes,No,Don't know,Don't know,Yes,Don't know,No,No,Some of them,Yes,Maybe
30,Male,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,No
34,Male,No,No,No,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,Maybe,Yes,Some of them,No
38,Male,No,No,Yes,Yes,Yes,Yes,No,No,No,Don't know,Don't know,Yes,No,No,No,No
33,Male,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Don't know,No,No,Some of them,Yes,No
34,Male,No,No,No,No,No,Yes,No,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No
28,Male,No,No,No,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,Maybe,No,Some of them,No
28,Male,No,No,Yes,No,No,Yes,Yes,Yes,Don't know,Don't know,Very easy,Maybe,No,Some of them,Some of them,No
23,Male,No,Yes,No,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No
22,Male,Yes,Yes,Yes,Yes,Yes,Don't know,Not sure,Yes,Yes,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,No
27,Male,No,No,No,No,Yes,No,No,No,No,Yes,Don't know,Yes,No,No,No,No
18,Male,No,No,Yes,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Yes,No,No,No,No
35,Male,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,Yes,No,No,Some of them,No
25,Male,No,No,No,No,No,Don't know,Not sure,No,No,Don't know,Don't know,No,No,Some of them,Some of them,No
27,Male,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Somewhat easy,Maybe,Maybe,Yes,Yes,Yes
26,Female,No,Yes,Yes,No,Yes,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No
18,Male,No,No,No,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,No,No,Some of them,Some of them,No
38,Female,No,No,Yes,No,Yes,No,Yes,No,No,Don't know,Don't know,No,Maybe,Some of them,No,No
26,Female,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Somewhat easy,Maybe,No,Some of them,No,No
30,Male,Yes,No,No,No,Yes,No,No,No,No,No,Somewhat easy,No,No,Yes,Yes,No
35,Male,No,No,No,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Yes,Maybe,Some of them,Some of them,No
45,Male,No,Yes,Yes,No,Yes,Yes,Yes,Don't know,Don't know,Yes,Don't know,Maybe,No,Some of them,Some of them,No
32,Male,No,No,No,No,Yes,Yes,No,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No
56,Male,No,No,Yes,No,Yes,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,No,Maybe,Yes,Some of them,No
24,Female,No,No,No,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,No,No
30,Female,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Don't know,Don't know,Very easy,No,No,Yes,Yes,No
60,Male,No,No,No,No,Yes,Yes,No,Don't know,Yes,Don't know,Don't know,No,No,Some of them,Yes,Maybe
33,Male,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Don't know,Don't know,Yes,No,No,No,No
37,Male,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,No,No,Some of them,Yes,Maybe
23,Female,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,No,No,Some of them,Some of them,No
31,Female,No,No,Yes,No,Yes,Yes,Not sure,Don't know,Don't know,Yes,Somewhat easy,No,No,Yes,Yes,No
26,Male,No,No,No,No,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No
28,Female,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,No,Some of them,Yes,No
37,Female,No,No,Yes,No,Yes,Yes,Yes,Don't know,Yes,Don't know,Somewhat easy,No,No,Some of them,Yes,No
26,Male,No,Yes,Yes,No,Yes,Yes,No,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,Maybe
30,queer/she/they,No,Yes,Yes,No,Yes,Yes,Not sure,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,No
26,Male,No,No,No,No,Yes,No,No,No,No,Don't know,Don't know,No,No,Some of them,Some of them,No
25,Male,No,No,No,Yes,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No
27,Male,No,No,No,No,Yes,Yes,Not sure,Yes,Yes,Don't know,Don't know,Maybe,No,Some of them,Yes,No
25,Male,No,No,Yes,Yes,No,Don't know,No,No,Don't know,Don't know,Somewhat difficult,Yes,Maybe,No,No,No
35,Male,No,No,Yes,No,Yes,Yes,Not sure,Don't know,Yes,Don't know,Don't know,No,No,Some of them,Yes,No
36,Male,Yes,No,Yes,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,No
26,Male,No,Yes,Yes,No,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,Yes,No,No,No,No
27,Male,No,Yes,No,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,No,Yes,Yes,Maybe
30,Male,No,No,No,No,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No
29,Male,No,No,No,No,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,No,No,No,No
25,Male,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,Maybe
22,Female,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,No,Some of them,No
29,Male,No,No,No,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No
41,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe
29,Male,No,No,Yes,No,Yes,Yes,No,No,Don't know,Don't know,Don't know,Yes,No,Some of them,Some of them,No
32,Male,No,No,No,No,Yes,Yes,Not sure,Don't know,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe
24,Female,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Don't know,Maybe,No,Some of them,No,No
25,Male,No,No,Yes,No,Yes,Yes,No,Don't know,No,Don't know,Don't know,Maybe,No,No,No,No
25,Male,No,No,No,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,No,No
30,Female,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,No,Some of them,No
25,Male,No,Yes,Yes,No,Yes,Don't know,Not sure,Don't know,Yes,Don't know,Don't know,No,No,Yes,Yes,No
30,Male,Yes,No,No,Yes,Yes,No,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No
33,Male,Yes,Yes,Yes,No,No,No,No,No,No,Don't know,Somewhat difficult,Yes,Yes,No,No,Maybe
24,Male,No,No,No,No,Yes,Yes,Not sure,Yes,Yes,Yes,Very easy,No,No,Some of them,Some of them,No
25,Male,No,Yes,Yes,No,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Yes,Maybe,Some of them,No,No
31,Male,No,No,No,No,No,Don't know,No,No,No,Yes,Somewhat easy,Maybe,No,No,No,No
45,Male,Yes,No,Yes,No,Yes,No,No,No,No,Don't know,Very difficult,No,No,No,No,No
29,Male,No,No,No,Yes,No,No,Yes,No,No,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,Maybe
46,Male,No,No,No,No,Yes,Yes,Not sure,Yes,Don't know,Don't know,Very easy,No,No,Some of them,Some of them,Maybe
30,Male,No,No,Yes,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,Yes,Maybe,No,No,No
29,Female,Yes,No,No,No,Yes,Yes,Not sure,Don't know,No,Don't know,Very easy,Maybe,Maybe,Some of them,Some of them,No
24,Male,No,No,No,No,Yes,Yes,Yes,Don't know,Don't know,Yes,Don't know,Yes,No,No,No,No
29,Male,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,No
35,Male,No,No,No,No,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No,Yes,Yes,No
33,Female,No,Yes,No,Yes,Yes,No,Yes,No,No,Don't know,Very difficult,Yes,Maybe,Some of them,Some of them,No
27,Male,No,No,No,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,Yes,No,No,No,No
36,Male,No,No,No,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No
33,Male,No,No,No,Yes,Yes,Don't know,No,No,No,Don't know,Don't know,Yes,Maybe,No,No,No
25,Female,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Don't know,No,No,Some of them,Yes,No
23,Male,No,Yes,Yes,No,No,Don't know,No,No,No,Don't know,Don't know,No,No,Yes,Yes,Maybe
54,Male,No,Yes,Yes,No,Yes,Don't know,No,Yes,Yes,Don't know,Don't know,No,No,No,Yes,No
22,Male,No,No,No,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No
25,non-binary,No,Yes,Yes,No,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No
29,Male,No,No,No,No,No,Don't know,No,No,No,Don't know,Don't know,Maybe,No,Yes,Yes,Maybe
27,Male,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,No,No,No,No,No
30,Male,No,No,No,No,Yes,No,No,No,Don't know,Don't know,Very easy,No,No,Some of them,Yes,No
26,Male,No,Yes,Yes,No,Yes,Yes,Not sure,Don't know,Yes,Don't know,Don't know,Maybe,No,Some of them,No,No
25,Female,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Don't know,Somewhat easy,No,No,Some of them,Yes,No
31,Male,No,No,Yes,No,No,No,Yes,No,Don't know,Yes,Don't know,No,No,Some of them,No,No
33,Male,No,Yes,Yes,No,Yes,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No
34,Male,No,Yes,Yes,No,Yes,Yes,Yes,Don't know,Yes,Yes,Don't know,Maybe,Maybe,No,No,No
34,Male,No,No,Yes,Yes,Yes,No,No,No,No,Don't know,Somewhat easy,Yes,Yes,Some of them,Some of them,No
29,Male,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Very easy,No,No,Yes,Yes,Maybe
33,Female,No,No,No,No,Yes,No,No,No,No,Don't know,Somewhat difficult,Maybe,No,Some of them,Some of them,No
34,Male,Yes,Yes,Yes,Yes,Yes,No,No,No,Don't know,Don't know,Somewhat difficult,No,No,Yes,Yes,No
26,Male,Yes,Yes,Yes,Yes,No,No,No,No,Don't know,No,Don't know,Maybe,No,Some of them,Yes,No
32,Male,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Don't know,No,No,Some of them,Yes,No
28,Male,No,Yes,Yes,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Somewhat difficult,Maybe,Maybe,No,No,No
35,Male,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,No
36,Male,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Very easy,No,No,Some of them,Some of them,No
21,Male,No,Yes,Yes,No,Yes,Yes,No,No,Don't know,Yes,Don't know,No,No,Yes,Yes,Maybe
21,Male,No,No,Yes,No,No,Don't know,Not sure,No,No,No,Very easy,Yes,No,Some of them,No,No
22,Female,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Somewhat easy,No,No,No,Some of them,No
41,Male,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Don't know,Somewhat difficult,Maybe,No,Yes,Some of them,No
55,Male,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,No
32,Female,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No
21,Female,No,Yes,Yes,No,Yes,Don't know,Not sure,Don't know,No,Don't know,Somewhat easy,Yes,No,Some of them,No,No
45,Male,No,No,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,Some of them,No
27,Female,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Don't know,Yes,Maybe,No,No,No
25,Female,No,Yes,Yes,Yes,Yes,Don't know,No,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No
34,woman,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Very difficult,Maybe,Maybe,Some of them,Some of them,No
26,Female,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Don't know,Maybe,No,No,No,No
41,Male,No,No,Yes,No,Yes,Yes,Not sure,No,Don't know,Don't know,Somewhat easy,No,No,Some of them,Some of them,No
27,Male,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Don't know,No,No,Some of them,Yes,No
31,Male,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Don't know,Don't know,No,No,Yes,Yes,No
25,Male,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Somewhat easy,No,No,Yes,Yes,No
26,Male,No,No,Yes,No,Yes,Don't know,No,No,No,Don't know,Don't know,Yes,Yes,Some of them,No,No
27,Female,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Maybe,No,Yes,No
42,Male,No,No,No,No,Yes,Don't know,Not sure,No,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe
29,Nah,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Don't know,Very difficult,Yes,No,Some of them,No,No
25,Female,No,No,Yes,No,Yes,Don't know,Not sure,No,No,Don't know,Somewhat difficult,Yes,No,Some of them,No,No
33,Female,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Don't know,Maybe,No,Some of them,No,No
40,Female,No,Yes,Yes,No,No,Yes,No,Don't know,Don't know,Don't know,Somewhat easy,Maybe,Maybe,No,No,No
31,Male,No,No,No,No,Yes,Don't know,No,No,Don't know,Don't know,Somewhat easy,Yes,No,Some of them,No,No
26,Male,No,Yes,Yes,Yes,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,No,Yes,Yes,No
24,Female,No,Yes,No,No,No,No,No,No,No,No,Very difficult,Yes,Maybe,No,No,No
29,Male,No,No,No,No,No,Yes,Not sure,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No
48,Male,No,No,No,No,Yes,Don't know,No,No,No,Don't know,Don't know,Maybe,Maybe,No,No,No
35,Male,No,No,No,No,Yes,No,No,No,No,Don't know,Very difficult,Maybe,Maybe,Some of them,Yes,No
32,Female,No,No,No,No,Yes,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No,No,Some of them,No
29,Male,No,No,Yes,No,Yes,Don't know,Not sure,Don't know,Don't know,Yes,Somewhat easy,Maybe,No,Some of them,Some of them,No
26,Male,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Don't know,Somewhat difficult,Maybe,No,Some of them,Yes,No
28,Male,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No
23,Male,No,No,No,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No
35,Male,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Don't know,Very difficult,Maybe,Maybe,Some of them,Some of them,No
29,Male,No,Yes,Yes,No,Yes,Don't know,No,No,No,Don't know,Very easy,Maybe,No,Some of them,Some of them,Maybe
26,Male,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Some of them,Yes,Maybe
33,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,Maybe,Yes,Some of them,No
33,Male,No,No,No,Yes,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,Yes,No,Some of them,No,No
22,Male,Yes,No,No,Yes,Yes,Don't know,No,No,No,Don't know,Somewhat easy,No,No,Yes,Yes,Maybe
30,Female,No,Yes,No,No,Yes,No,No,No,No,Don't know,Don't know,Yes,Maybe,No,No,No
33,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Don't know,Somewhat easy,Yes,No,No,No,No
31,Female,No,Yes,Yes,No,No,Don't know,Not sure,No,Don't know,Don't know,Very difficult,Yes,Maybe,No,No,No
21,Male,No,Yes,No,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,No
31,Enby,No,Yes,Yes,No,Yes,Don't know,No,No,No,Don't know,Don't know,Yes,Maybe,No,No,No
26,Female,No,No,Yes,Yes,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Somewhat difficult,No,No,Some of them,Some of them,No
30,Male,No,Yes,No,No,Yes,Don't know,No,No,Don't know,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,No
30,Female,No,Yes,Yes,No,Yes,Don't know,Not sure,No,No,Don't know,Somewhat difficult,No,No,Yes,Yes,Maybe
23,Male,No,No,No,No,Yes,No,No,No,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe
34,Male,No,No,No,No,Yes,No,No,No,No,Don't know,Somewhat easy,No,No,Yes,Yes,No
55,Male,No,Yes,Yes,Yes,Yes,No,Yes,No,Don't know,Don't know,Don't know,Yes,Maybe,No,No,No
28,Male,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Very easy,No,No,Yes,Yes,No
26,Male,No,No,No,Yes,Yes,Don't know,No,Don't know,No,Don't know,Don't know,No,No,Some of them,No,No
28,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Don't know,Very easy,No,No,Yes,Yes,Yes
32,Male,No,Yes,Yes,No,Yes,No,No,No,Don't know,Don't know,Somewhat easy,No,No,Some of them,Yes,No
28,Female,No,No,Yes,No,No,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,No,No,No
21,Male,No,No,No,No,No,Don't know,Not sure,No,Yes,Yes,Don't know,No,No,Some of them,Some of them,Maybe
24,Male,No,Yes,Yes,No,Yes,No,Yes,No,No,Don't know,Somewhat difficult,Yes,No,Some of them,Some of them,No
26,Female,No,No,No,No,No,Yes,Not sure,Yes,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No
23,Male,No,No,No,No,No,Yes,No,No,No,Don't know,Don't know,No,No,Yes,No,No
24,Female,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,Yes
28,Male,Yes,No,No,Yes,Yes,Don't know,No,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,No
24,Female,No,Yes,Yes,No,Yes,No,No,No,No,Don't know,Very easy,Yes,No,No,Some of them,No
33,Male,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Somewhat easy,Yes,Maybe,Some of them,Some of them,Yes
34,Male,No,No,No,No,Yes,Don't know,No,No,No,Don't know,Don't know,Maybe,No,Yes,Yes,No
27,Female,No,No,Yes,No,Yes,Don't know,Not sure,No,No,Don't know,Somewhat difficult,Maybe,Maybe,Some of them,Some of them,No
28,Male,No,No,No,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No
26,Male,No,No,No,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No
20,Male,No,No,No,Yes,Yes,Don't know,Not sure,Don't know,Don't know,Yes,Very easy,No,No,Some of them,Yes,No
23,Female,No,No,Yes,No,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No
29,Male,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Maybe
26,Male,No,Yes,No,No,Yes,No,No,No,No,Don't know,Don't know,Maybe,Maybe,No,No,No
36,Male,No,No,No,Yes,Yes,Yes,No,Yes,Don't know,Don't know,Somewhat easy,Maybe,No,No,No,No
41,Male,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Maybe,No,Some of them,Yes,Maybe
33,Female,No,No,No,Yes,Yes,Yes,No,Don't know,No,Don't know,Don't know,No,No,Some of them,Yes,No
23,Male,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Yes,No
39,Male,No,Yes,No,No,Yes,Yes,No,No,Don't know,Don't know,Don't know,Yes,No,Some of them,Some of them,No
34,Male,No,Yes,No,No,Yes,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No
26,Female,No,No,Yes,No,Yes,Yes,Yes,No,No,Don't know,Somewhat difficult,Yes,Maybe,Some of them,Some of them,No
24,Male,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Don't know,Don't know,No,No,Some of them,Yes,No
37,Male,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No
43,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Yes,Maybe
40,Genderqueer,No,Yes,No,No,Yes,Yes,Yes,Yes,Don't know,Yes,Don't know,Yes,Maybe,No,Some of them,No
30,Male,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Don't know,Very difficult,Yes,No,Some of them,No,No
34,Male,No,No,Yes,No,Yes,Don't know,Not sure,No,No,Don't know,Don't know,Yes,Yes,Some of them,No,No
27,Male,No,Yes,Yes,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Yes,No,No,No,No
36,Male,No,No,No,No,Yes,Don't know,No,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe
27,Male,No,No,No,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,Some of them,No
35,Male,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Don't know,Yes,No,No,No,No
32,Male,No,No,No,No,Yes,No,No,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No
37,Male,No,No,No,No,Yes,Yes,No,No,No,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No
29,Male,No,No,No,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Maybe
33,Female,No,No,No,No,Yes,Yes,Not sure,Yes,Yes,Don't know,Very easy,Maybe,No,Some of them,Yes,No
28,Male,No,No,No,Yes,Yes,No,Yes,No,No,Don't know,Somewhat easy,Yes,Maybe,Some of them,No,No
26,Female,No,Yes,No,No,Yes,Don't know,Not sure,No,No,Don't know,Somewhat difficult,Maybe,Maybe,Some of them,No,No
27,Male,No,Yes,Yes,Yes,Yes,Don't know,No,Yes,Don't know,Don't know,Somewhat easy,Yes,No,Some of them,Yes,No
38,Male,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Somewhat easy,Maybe,Maybe,Some of them,Yes,No
57,Male,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No
28,Male,No,No,Yes,No,Yes,No,No,No,No,No,Very difficult,Yes,Maybe,No,Some of them,No
26,Male,No,No,No,No,Yes,No,Yes,No,No,Don't know,Don't know,Maybe,No,Yes,Yes,Maybe
42,Female,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Don't know,Yes,No,Some of them,No,No
31,Male,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Some of them,Yes,No
58,Male,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No
29,Male,No,No,No,No,Yes,Don't know,No,No,No,Don't know,Very difficult,Yes,No,No,No,No
39,Female,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Don't know,Don't know,Yes,No,Some of them,Some of them,No
34,Male,No,No,No,Yes,Yes,Don't know,No,No,No,Don't know,Very difficult,Maybe,No,Some of them,Yes,No
57,Male,No,No,Yes,No,Yes,Yes,Not sure,Yes,Yes,Don't know,Don't know,Maybe,Maybe,No,No,No
27,Male,No,Yes,Yes,No,Yes,No,Not sure,No,No,Don't know,Somewhat difficult,Yes,Maybe,Some of them,No,No
23,Male,Yes,Yes,Yes,Yes,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,Maybe,Yes,Yes,Maybe
18,Male,No,No,No,Yes,No,Don't know,No,No,Don't know,Don't know,Very easy,Yes,No,No,No,No
30,Female,No,No,No,No,Yes,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No
23,Male,No,No,No,No,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe
43,Male,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,Maybe,No,No,No
